Año,Organismo Promotor,Empleos potenciales comprometidos,Empleos mejorados comprometidos,Empresas atendidas potenciales comprometidas,Empresas atendidas existentes comprometidas,Certificaciones Organizacionales comprometidas,Implantaciones comprometidas, Monto de aportación del PROSOFT ," Monto de aportación de la entidad federativa
 ", Monto de aportación del sector privado , Monto de aportación del sector académico , Monto de aportación de otros aportantes , Total de aportaciones ,Localización-Municipio del Proyecto,Localización-Entidad Federativa del Proyecto,Vinculado al Banco Mundial,Componente de Banco Mundial
2004,Yucatán,20,50,0,8,0,0,"$1,300,000.00","$1,300,000.00",$0.00,$0.00,$0.00,"$2,600,000.00",Mérida,Yucatán,0,
2004,Sinaloa,0,30,0,16,0,0,"$230,000.00",$0.00,"$30,000.00",$0.00,"$350,000.00","$610,000.00",Varios,Sinaloa,0,
2004,Sinaloa,0,1,0,16,0,0,"$50,000.00",$0.00,"$80,000.00",$0.00,$0.00,"$130,000.00",Varios,Sinaloa,0,
2004,Nuevo León,90,30,0,4,0,0,"$5,861,000.00","$5,861,000.00","$5,868,000.00",$0.00,$0.00,"$17,590,000.00",San Pedro Garza García,Nuevo León,0,
2004,Nuevo León,3,0,0,20,0,0,"$493,000.00","$493,000.00",$0.00,"$986,000.00",$0.00,"$1,972,000.00",San Pedro Garza García,Nuevo León,0,
2004,AMITI,0,8,0,1,0,0,"$726,640.00",$0.00,"$726,640.00",$0.00,$0.00,"$1,453,280.00",Cuauhtémoc,Distrito Federal,0,
2004,Nuevo León,0,1,0,1,0,0,"$100,000.00",$0.00,"$100,000.00",$0.00,$0.00,"$200,000.00",San Pedro Garza García,Nuevo León,0,
2004,Jalisco,4,37,0,25,0,0,"$800,000.00",$0.00,"$800,000.00",$0.00,$0.00,"$1,600,000.00",Guadalajara,Jalisco,0,
2004,Yucatán,0,8,0,8,0,0,"$200,000.00","$200,000.00",$0.00,$0.00,$0.00,"$400,000.00",Mérida,Yucatán,0,
2004,Sonora,0,20,0,5,0,0,"$200,000.00",$0.00,$0.00,"$1,000,000.00",$0.00,"$1,200,000.00",Cajeme,Sonora,0,
2004,Baja California,0,1,0,19,0,0,"$400,000.00","$200,000.00","$200,000.00",$0.00,$0.00,"$800,000.00",Tijuana,Baja California,0,
2004,Morelos,0,17,0,12,0,0,"$500,000.00","$500,000.00",$0.00,$0.00,$0.00,"$1,000,000.00",Cuernavaca ,Morelos,0,
2004,Jalisco,0,15,0,1,0,0,"$4,000,000.00","$1,400,000.00","$5,537,000.00",$0.00,$0.00,"$10,937,000.00",Guadalajara,Jalisco,0,
2004,Nuevo León,0,5,0,1,0,0,"$100,000.00","$100,000.00","$139,000.00",$0.00,$0.00,"$339,000.00",Monterrey,Nuevo León,0,
2004,Morelos,0,20,0,1,0,0,"$2,200,000.00",$0.00,"$3,500,000.00",$0.00,$0.00,"$5,700,000.00",Ayala,Morelos,0,
2004,Nuevo León,0,15,0,7,0,0,"$93,000.00","$93,000.00","$94,000.00",$0.00,$0.00,"$280,000.00",Monterrey,Nuevo León,0,
2004,Jalisco,3,5,0,1,0,0,"$500,000.00",$0.00,"$500,000.00","$500,000.00",$0.00,"$1,500,000.00",Guadalajara,Jalisco,0,
2004,Sinaloa,0,16,0,16,0,0,"$200,000.00",$0.00,"$200,000.00",$0.00,$0.00,"$400,000.00",Varios,Sinaloa,0,
2004,Baja California,0,0,0,1,0,0,"$11,500,000.00","$5,750,000.00","$11,500,000.00",$0.00,$0.00,"$28,750,000.00",Mexicali,Baja California,0,
2004,Jalisco,30,27,10,2,0,0,"$1,100,000.00","$1,100,000.00",$0.00,$0.00,$0.00,"$2,200,000.00",Guadalajara,Jalisco,0,
2004,Yucatán,0,10,0,8,0,0,"$1,375,000.00","$1,375,000.00",$0.00,$0.00,$0.00,"$2,750,000.00",Mérida,Yucatán,0,
2004,Baja California,2,0,1,19,0,0,"$611,680.00","$379,680.00","$264,640.00",$0.00,$0.00,"$1,256,000.00",Varios,Baja California,0,
2004,Morelos,0,12,0,5,0,0,"$150,000.00",$0.00,"$150,000.00",$0.00,$0.00,"$300,000.00",Cuernavaca,Morelos,0,
2004,Aguascalientes,0,20,0,17,0,0,"$1,400,000.00","$1,100,000.00","$300,000.00",$0.00,$0.00,"$2,800,000.00",Aguascalientes,Aguascalientes,0,
2004,Jalisco,0,10,0,1,0,0,"$1,190,000.00","$1,000,000.00","$2,190,000.00",$0.00,$0.00,"$4,380,000.00",Guadalajara,Jalisco,0,
2004,Sonora,0,20,0,5,0,0,"$228,000.00",$0.00,$0.00,"$160,000.00",$0.00,"$388,000.00",Cajeme,Sonora,0,
2004,Puebla,0,30,0,1,0,0,"$525,000.00","$495,000.00","$27,000.00","$300,000.00",$0.00,"$1,347,000.00",Varios,Puebla,0,
2004,Morelos,0,3,0,1,0,0,"$100,000.00","$122,500.00","$127,500.00",$0.00,$0.00,"$350,000.00",Cuernavaca,Morelos,0,
2004,Nuevo León,4,0,0,9,0,0,"$57,000.00","$57,000.00","$59,000.00",$0.00,$0.00,"$173,000.00",Monterrey,Nuevo León,0,
2004,Nuevo León,0,15,0,1,0,0,"$1,634,000.00","$1,150,000.00","$930,000.00",$0.00,$0.00,"$3,714,000.00",San Pedro Garza García,Nuevo León,0,
2004,Jalisco,0,50,0,25,0,0,"$2,000,000.00","$2,000,000.00",$0.00,$0.00,$0.00,"$4,000,000.00",Guadalajara,Jalisco,0,
2004,Nuevo León,3,0,0,1,0,0,"$135,561.00","$135,559.00","$139,667.00",$0.00,$0.00,"$410,787.00",Santa Catarina,Nuevo León,0,
2004,Nuevo León,4,1,0,1,0,0,"$173,320.00","$173,320.00","$173,360.00",$0.00,$0.00,"$520,000.00",Monterrey,Nuevo León,0,
2004,Baja California,2,2,1,1,0,0,"$2,796,918.00","$2,796,918.00",$0.00,"$177,000.00","$75,000.00","$5,845,836.00",Ensenada,Baja California,0,
2004,Nuevo León,0,80,0,20,0,0,"$419,500.00","$419,500.00","$419,500.00",$0.00,$0.00,"$1,258,500.00",Monterrey,Nuevo León,0,
2004,Jalisco,10,6,0,1,0,0,"$4,000,000.00","$1,400,000.00","$2,600,000.00",$0.00,$0.00,"$8,000,000.00",Guadalajara,Jalisco,0,
2004,Guanajuato,0,20,0,11,0,0,"$300,000.00","$300,000.00","$100,000.00",$0.00,$0.00,"$700,000.00",Varios,Guanajuato,0,
2004,Sinaloa,0,35,0,17,0,0,"$2,000,000.00","$1,000,000.00",$0.00,$0.00,"$1,000,000.00","$4,000,000.00",Varios,Sinaloa,0,
2004,AMCIS,0,2,0,1,0,0,"$89,215.00",$0.00,"$142,385.00",$0.00,$0.00,"$231,600.00",Coyoacán,Distrito Federal,0,
2004,Proyecto Estratégico,0,0,0,0,0,0,"$14,389,196.50",$0.00,$0.00,$0.00,$0.00,"$14,389,196.50",Varios,Distrito Federal,0,
2004,Guanajuato,0,4,0,1,0,0,"$200,000.00","$200,000.00","$100,000.00",$0.00,$0.00,"$500,000.00",Varios,Guanajuato,0,
2004,AMITI,2,64,1,7,0,0,"$811,723.50",$0.00,"$811,723.50",$0.00,$0.00,"$1,623,447.00",Varios,Distrito Federal,0,
2004,Jalisco,4,30,0,7,0,0,"$1,900,000.00","$1,600,000.00","$300,000.00",$0.00,$0.00,"$3,800,000.00",Guadalajara,Jalisco,0,
2004,Baja California,2,4,1,7,0,0,"$454,000.00","$289,000.00","$284,000.00",$0.00,$0.00,"$1,027,000.00",Tijuana,Baja California,0,
2004,Baja California,0,72,0,18,0,0,"$2,438,220.00","$1,496,690.00","$1,304,110.00",$0.00,$0.00,"$5,239,020.00",Varios,Baja California,0,
2004,Sonora,0,20,0,26,0,0,"$450,000.00","$850,000.00",$0.00,$0.00,"$1,200,000.00","$2,500,000.00",Varios,Sonora,0,
2004,Jalisco,70,60,1,0,0,0,"$1,364,284.00",$0.00,"$2,992,956.00",$0.00,$0.00,"$4,357,240.00",Guadalajara,Jalisco,0,
2004,Sinaloa,0,16,0,16,0,0,"$450,000.00","$200,000.00","$250,000.00",$0.00,$0.00,"$900,000.00",Varios,Sinaloa,0,
2004,Proyecto Estratégico,0,0,0,0,0,0,"$50,000,000.00",$0.00,$0.00,$0.00,$0.00,"$50,000,000.00",Varios,Varios,0,
2004,AMITI,52,95,0,1,0,0,"$1,502,000.00",$0.00,"$1,502,000.00",$0.00,$0.00,"$3,004,000.00",Cuautitlán Izcalli,Estado de México,0,
2004,Nuevo León,0,70,0,35,0,0,"$184,000.00","$184,000.00","$184,000.00",$0.00,$0.00,"$552,000.00",Monterrey,Nuevo León,0,
2004,Nuevo León,0,80,0,10,0,0,"$538,000.00","$538,000.00","$538,000.00",$0.00,$0.00,"$1,614,000.00",Ciudad Guadalupe,Nuevo León,0,
2004,Jalisco,0,3,0,25,0,0,"$300,000.00","$300,000.00",$0.00,$0.00,$0.00,"$600,000.00",Guadalajara,Jalisco,0,
2004,Nuevo León,1,0,1,1,0,0,"$324,752.00","$324,752.00","$334,593.00",$0.00,$0.00,"$984,097.00",Santa Catarina,Nuevo León,0,
2004,Morelos,2,5,0,1,0,0,"$350,000.00",$0.00,"$350,000.00",$0.00,$0.00,"$700,000.00",Cuernavaca,Morelos,0,
2004,Jalisco,3,23,0,25,0,0,"$2,000,000.00",$0.00,"$2,000,000.00",$0.00,$0.00,"$4,000,000.00",Guadalajara,Jalisco,0,
2004,Jalisco,0,60,0,3,0,0,"$240,000.00",$0.00,"$240,000.00",$0.00,$0.00,"$480,000.00",Guadalajara,Jalisco,0,
2004,Nuevo León,4,2,0,1,0,0,"$190,860.00","$190,860.00","$190,860.00",$0.00,$0.00,"$572,580.00",San Pedro Garza García,Nuevo León,0,
2004,Nuevo León,0,24,0,12,0,0,"$3,717,000.00","$3,717,000.00","$5,611,000.00",$0.00,$0.00,"$13,045,000.00",Varios,Nuevo León,0,
2004,Nuevo León,0,3,0,3,0,0,"$62,000.00","$62,000.00","$62,000.00",$0.00,$0.00,"$186,000.00",Monterrey,Nuevo León,0,
2004,Guanajuato,0,5,0,1,0,0,"$100,000.00","$100,000.00",$0.00,$0.00,$0.00,"$200,000.00",Varios,Guanajuato,0,
2004,Baja California,11,12,0,4,0,0,"$638,130.00","$382,880.00","$255,250.00",$0.00,$0.00,"$1,276,260.00",Mexicali,Baja California,0,
2004,Jalisco,0,20,0,6,0,0,"$340,000.00",$0.00,$0.00,"$340,000.00",$0.00,"$680,000.00",Guadalajara,Jalisco,0,
2004,Aguascalientes,8,12,2,17,0,0,"$1,000,000.00","$500,000.00","$500,000.00",$0.00,$0.00,"$2,000,000.00",Aguascalientes,Aguascalientes,0,
2004,Aguascalientes,0,40,0,1,0,0,"$1,117,000.00","$503,000.00","$855,300.00",$0.00,"$828,130.00","$3,303,430.00",Aguascalientes,Aguascalientes,0,
2004,Nuevo León,0,10,0,1,0,0,"$4,300,000.00",$0.00,"$4,300,000.00",$0.00,$0.00,"$8,600,000.00",San Pedro Garza García,Nuevo León,0,
2004,Sinaloa,15,65,0,16,0,0,"$450,000.00",$0.00,"$554,000.00",$0.00,$0.00,"$1,004,000.00",Varios,Sinaloa,0,
2004,Guanajuato,0,16,0,11,0,0,"$150,000.00","$150,000.00",$0.00,$0.00,$0.00,"$300,000.00",Varios,Guanajuato,0,
2005,AMITI,0,320,0,115,0,0,"$14,392,098.00",$0.00,"$12,195,946.00",$0.00,"$6,602,430.00","$33,190,474.00",Varios,Varios,0,
2005,AMCIS,9,18,0,1,0,0,"$310,000.00",$0.00,"$456,000.00",$0.00,$0.00,"$766,000.00",Benito Juárez,Distrito Federal,0,
2005,Jalisco,25,9,0,3,0,0,"$4,486,700.00","$3,999,700.00","$9,255,800.00",$0.00,$0.00,"$17,742,200.00",Guadalajara,Jalisco,0,
2005,Jalisco,40,0,10,1,0,0,"$1,000,000.00","$1,000,000.00","$20,000.00",$0.00,"$530,000.00","$2,550,000.00",Guadalajara,Jalisco,0,
